"Id","UnitId","Filename","SchoolCode","Created","CreatedBy","Uploaded","UploadedBy"
"112","80","journal.AG.201408011152045526.txt","01","2014-08-01 11:52:07","wipurft","2014-08-01 11:52:27","wipurft"
"113","126","journal.SS.201408041118474894.txt","19","2014-08-04 11:18:52","mclaughl","2014-08-04 11:45:25","mclaughl"
"114","127","journal.DR.201408120855326375.txt","99","2014-08-12 08:55:34","latin39","",""
"115","80","journal.AG.201409020912188596.txt","01","2014-09-02 09:12:26","wipurft","2014-09-02 09:12:43","wipurft"
"116","128","journal.HA.201409021447391895.txt","17","2014-09-02 14:47:40","lisas","2014-09-02 14:55:10","lisas"
"117","126","journal.SS.201409030855561258.txt","19","2014-09-03 08:56:04","mclaughl","2014-09-03 09:01:38","mclaughl"
"118","80","journal.AG.201410011645433950.txt","01","2014-10-01 16:45:55","wipurft","2014-10-01 16:46:27","wipurft"
"119","126","journal.SS.201410060934542972.txt","19","2014-10-06 09:35:02","mclaughl","2014-10-06 09:42:18","mclaughl"
"120","128","journal.HA.201410071125207285.txt","17","2014-10-07 11:25:24","lisas","2014-10-07 11:27:59","lisas"
"121","126","journal.SS.201411030925466329.txt","19","2014-11-03 09:25:58","mclaughl","2014-11-03 09:30:58","mclaughl"
"122","80","journal.AG.201411031108542698.txt","01","2014-11-03 11:09:03","wipurft","2014-11-03 11:09:38","wipurft"
"123","128","journal.HA.201411041131354553.txt","17","2014-11-04 11:31:39","lisas","2014-11-04 11:33:53","lisas"
"124","128","journal.HA.201411050843009198.txt","17","2014-11-05 08:43:08","lisas","2014-11-05 08:44:40","lisas"
"125","80","journal.AG.201412011604058787.txt","01","2014-12-01 16:04:28","wipurft","2014-12-01 16:04:55","wipurft"
"126","126","journal.SS.201412030839003613.txt","19","2014-12-03 08:39:07","mclaughl","2014-12-03 08:47:57","mclaughl"
"127","128","journal.HA.201412051044577640.txt","17","2014-12-05 10:45:08","lisas","2014-12-05 10:49:34","lisas"
"128","128","journal.HA.201412300836209779.txt","17","2014-12-30 08:36:31","lisas","2014-12-30 08:38:31","lisas"
"129","80","journal.AG.201501030756423606.txt","01","2015-01-03 07:56:50","wipurft","2015-01-03 07:57:11","wipurft"
"130","126","journal.SS.201501050839162652.txt","19","2015-01-05 08:39:31","mclaughl","2015-01-05 08:44:39","mclaughl"
"131","80","journal.AG.201502030737097403.txt","01","2015-02-03 07:37:26","wipurft","2015-02-03 07:37:42","wipurft"
"132","126","journal.SS.201502040935103640.txt","19","2015-02-04 09:35:21","mclaughl","2015-02-04 09:52:57","mclaughl"
"133","128","journal.HA.201502050850325252.txt","17","2015-02-05 08:50:42","lisas","2015-02-05 08:52:42","lisas"
"134","80","journal.AG.201503030742001103.txt","01","2015-03-03 07:42:22","wipurft","2015-03-03 07:42:57","wipurft"
"135","126","journal.SS.201503030848372606.txt","19","2015-03-03 08:49:06","mclaughl","2015-03-03 08:52:42","mclaughl"
"136","128","journal.HA.201503050959051148.txt","17","2015-03-05 09:59:17","lisas","2015-03-05 10:02:27","lisas"
"137","52","journal.AG.201504020735167886.txt","01","2015-04-02 07:35:39","tanguay","2015-04-02 08:37:58","tanguay"
"138","126","journal.SS.201504021322270236.txt","19","2015-04-02 13:22:41","mclaughl","2015-05-04 09:19:08","mclaughl"
"139","128","journal.HA.201504070901516164.txt","17","2015-04-07 09:02:12","lisas","2015-04-07 09:05:07","lisas"
"140","126","journal.SS.201505040900303510.txt","19","2015-05-04 09:00:54","mclaughl","2015-05-04 09:19:43","mclaughl"
"141","52","journal.AG.201505040908263696.txt","01","2015-05-04 09:08:47","tanguay","2015-05-04 09:35:04","tanguay"
"142","128","journal.HA.201505051332262121.txt","17","2015-05-05 13:32:38","lisas","2015-05-05 13:34:49","lisas"
"143","128","journal.HA.201505061306019080.txt","17","2015-05-06 13:06:20","lisas","2015-05-06 13:08:12","lisas"
"144","52","journal.AG.201506021117210437.txt","01","2015-06-02 11:17:43","tanguay","2015-06-02 11:18:07","tanguay"
"145","126","journal.SS.201506031039075229.txt","19","2015-06-03 10:39:40","mclaughl","2015-06-03 10:44:24","mclaughl"
"146","128","journal.HA.201506031416016801.txt","17","2015-06-03 14:16:09","lisas","2015-06-03 14:17:35","lisas"
"147","52","journal.AG.201507010853432756.txt","01","2015-07-01 08:54:08","tanguay","2015-07-01 09:04:21","tanguay"
"148","126","journal.SS.201507010925391237.txt","19","2015-07-01 09:26:03","mclaughl","2015-07-01 09:29:41","mclaughl"
"149","128","journal.HA.201507011205014367.txt","17","2015-07-01 12:05:18","lisas","2015-07-01 12:07:17","lisas"
"150","128","journal.HA.201507081333291832.txt","17","2015-07-08 13:33:38","lisas","2015-07-08 13:35:10","lisas"
"151","128","journal.HA.201507091149487217.txt","17","2015-07-09 11:50:07","lisas","2015-07-09 11:53:23","lisas"
"152","52","journal.AG.201507130924030613.txt","01","2015-07-13 09:24:27","tanguay","2015-07-14 09:16:01","tanguay"
"153","52","journal.AG.201508030818548153.txt","01","2015-08-03 08:18:57","tanguay","2015-08-03 09:01:58","taylorkj"
"154","126","journal.SS.201508031630195897.txt","19","2015-08-03 16:30:54","mclaughl","2015-08-03 16:40:43","mclaughl"
"155","128","journal.HA.201508050838595914.txt","17","2015-08-05 08:39:41","lisas","2015-08-05 08:47:51","lisas"
"156","126","journal.SS.201509030807191451.txt","19","2015-09-03 08:07:30","mclaughl","",""
"157","80","journal.AG.201509040811393242.txt","01","2015-09-04 08:11:42","wipurft","",""
"158","80","journal.AG.201509040812340873.txt","01","2015-09-04 08:12:47","wipurft","2015-09-04 08:13:07","wipurft"
"159","126","journal.SS.201509041045448311.txt","19","2015-09-04 10:45:49","mclaughl","2015-09-04 10:50:28","mclaughl"
"160","128","journal.HA.201509080937588337.txt","17","2015-09-08 09:38:02","lisas","",""
"161","128","journal.HA.201509080943249971.txt","17","2015-09-08 09:43:32","lisas","2015-09-08 09:43:43","lisas"
"162","80","journal.AG.201510020811260481.txt","01","2015-10-02 08:11:35","wipurft","2015-10-02 08:11:50","wipurft"
"163","126","journal.SS.201510050940170909.txt","19","2015-10-05 09:40:25","mclaughl","2015-10-05 09:44:00","mclaughl"
"164","128","journal.HA.201510071037266301.txt","17","2015-10-07 10:37:30","lisas","2015-10-07 10:40:32","lisas"
